@rel(Composed_Of)
@from(PE_Device)key|@to(PE_PPort)key
10.204.241.1|10.204.241.1/FastEthernet0/7
10.204.244.2|10.204.244.2/FastEthernet0/6
12.82.126.28|12.82.126.28/FastEthernet 0/0
10.204.241.2|10.204.241.2/FastEthernet0/10
192.168.114.108|192.168.114.108/GigabitEthernet0/1
10.204.241.3|10.204.241.3/FastEthernet0/14
10.204.250.13|10.204.250.13/Gi0/2
12.123.102.156|12.123.102.156/GigabitEthernet0/0
10.204.244.4|10.204.244.4/FastEthernet0/20
10.204.241.3|10.204.241.3/FastEthernet0/5
12.123.110.4|12.123.110.4/GigabitEthernet0/0
12.123.105.76|12.123.105.76/GigabitEthernet0/2
10.204.250.211|10.204.250.211/Gi0/2
12.82.72.132|12.82.72.132/FastEthernet 0/0
10.204.241.3|10.204.241.3/FastEthernet0/2
10.204.242.50|10.204.242.50/GigabitEthernet0/0
10.204.241.2|10.204.241.2/FastEthernet0/6
12.123.106.76|12.123.106.76/GigabitEthernet0/2/0
10.204.250.252|10.204.250.252/Gi0/2
143.0.11.212|143.0.11.212/GigabitEthernet0/1
12.82.84.132|12.82.84.132/FastEthernet 0/0
10.204.244.235|10.204.244.235/FastEthernet0/22
10.204.241.3|10.204.241.3/FastEthernet0/20
12.123.103.140|12.123.103.140/GigabitEthernet0/1
10.204.241.1|10.204.241.1/FastEthernet0/17
10.204.250.189|10.204.250.189/Fa0/1
192.168.114.116|192.168.114.116/GigabitEthernet0/0/0
12.82.48.84|12.82.48.84/FastEthernet 0/0
10.204.241.2|10.204.241.2/FastEthernet0/15
10.204.244.248|10.204.244.248/FastEthernet0/4
12.82.127.212|12.82.127.212/FastEthernet 0/0
12.82.70.132|12.82.70.132/FastEthernet 0/0
10.204.250.180|10.204.250.180/Gi0/2
10.204.241.51|10.204.241.51/FastEthernet0/11
148.0.7.172|148.0.7.172/GigabitEthernet0/0
10.204.250.185|10.204.250.185/Gi0/2
148.0.7.172|148.0.7.172/GigabitEthernet0/1
10.204.241.3|10.204.241.3/FastEthernet0/13
10.204.244.46|10.204.244.46/FastEthernet0/3
10.204.244.235|10.204.244.235/FastEthernet0/5
12.82.64.132|12.82.64.132/FastEthernet 0/0
12.123.110.12|12.123.110.12/GigabitEthernet0/-3
10.204.250.183|10.204.250.183/Gi0/2
10.204.244.46|10.204.244.46/FastEthernet0/20
10.204.250.196|10.204.250.196/Gi0/2
10.204.244.197|10.204.244.197/FastEthernet0/4
10.204.244.197|10.204.244.197/FastEthernet0/22
10.204.241.8|10.204.241.8/GigabitEthernet0/0
10.204.250.98|10.204.250.98/Fa0/1
10.204.250.237|10.204.250.237/Gi0/2
12.123.116.36|12.123.116.36/GigabitEthernet0/-3
10.204.241.1|10.204.241.1/FastEthernet0/14
10.204.244.170|10.204.244.170/FastEthernet0/14
10.204.250.102|10.204.250.102/Gi0/2
10.204.244.2|10.204.244.2/FastEthernet0/19
10.204.250.191|10.204.250.191/Fa0/1
10.204.244.170|10.204.244.170/FastEthernet0/2
10.204.233.79|10.204.233.79/Gi0/2
10.204.241.88|10.204.241.88/FastEthernet0/21
143.0.9.52|143.0.9.52/GigabitEthernet0/1
10.204.244.248|10.204.244.248/GigabitEthernet0/3
148.0.4.52|148.0.4.52/GigabitEthernet0/0
10.204.244.248|10.204.244.248/FastEthernet0/23
10.204.241.1|10.204.241.1/FastEthernet0/5
148.0.15.164|148.0.15.164/GigabitEthernet0/1/0
10.204.241.12|10.204.241.12/GigabitEthernet0/1
10.204.244.2|10.204.244.2/FastEthernet0/20
10.204.250.17|10.204.250.17/Gi0/2
10.204.241.12|10.204.241.12/FastEthernet0/18
10.204.250.158|10.204.250.158/Gi0/2
10.204.241.11|10.204.241.11/GigabitEthernet0/0
12.123.106.76|12.123.106.76/GigabitEthernet0/3/0
10.204.241.88|10.204.241.88/FastEthernet0/7
10.204.244.170|10.204.244.170/FastEthernet0/23
10.204.250.139|10.204.250.139/Fa0/1
10.204.241.88|10.204.241.88/FastEthernet0/6
10.204.241.11|10.204.241.11/FastEthernet0/9
10.204.244.4|10.204.244.4/FastEthernet0/19
10.204.244.235|10.204.244.235/FastEthernet0/24
10.204.244.131|10.204.244.131/FastEthernet0/13
10.204.244.131|10.204.244.131/GigabitEthernet0/2
10.204.244.131|10.204.244.131/FastEthernet0/12
10.204.242.50|10.204.242.50/FastEthernet0/10
148.0.11.52|148.0.11.52/GigabitEthernet0/0/0
10.204.250.122|10.204.250.122/Gi0/2
10.204.244.4|10.204.244.4/FastEthernet0/14
10.204.241.0|10.204.241.0/FastEthernet0/6
10.204.241.2|10.204.241.2/FastEthernet0/11
