@rel(Composed_Of)
@from(PE_Card)key|@to(PE_PPort)key
172.30.192.3/7/1|172.30.192.3/7/1/5
12.122.122.226/5/0|12.122.122.226/5/0/3
12.82.53.5/0/0|12.82.53.5/0/0/0
12.82.90.11/9/2|12.82.90.11/9/2/9
12.82.124.129/8/0|12.82.124.129/8/0/8
12.82.114.14/2/3|12.82.114.14/2/3/0
12.82.80.14/1/2|12.82.80.14/1/2/0
12.82.49.196/0/1|12.82.49.196/0/1/9
1.2.3.4/9/1|1.2.3.4/9/1/4
12.82.125.130/9/0|12.82.125.130/9/0/8
12.82.0.66/2/0|12.82.0.66/2/0/6
12.82.0.42/4/0|12.82.0.42/4/0/3
12.82.70.29/2/0|12.82.70.29/2/0/7
12.82.94.28/1/1|12.82.94.28/1/1/0
10.0.36.144/2/3|10.0.36.144/2/3/8
12.82.114.17/3/2|12.82.114.17/3/2/4
12.122.122.178/0/3|12.122.122.178/0/3/0
12.82.92.31/2/2|12.82.92.31/2/2/3
