@rel(Composed_Of)
@from(PE_PPort)key|@to(PE_LPort)key
10.0.36.21/0/0/8|10.0.36.21/0/0/8/2
149.8.0.160/1/2/1|149.8.0.160/1/2/1/2
149.0.3.222/4/0/6|149.0.3.222/4/0/6/6000
143.0.24.102/0/1/9|143.0.24.102/0/1/9/81
143.1.140.2/2/3/9|143.1.140.2/2/3/9/2
10.0.8.122/1/1/0|10.0.8.122/1/1/0/2
143.0.68.254/0/0/3|143.0.68.254/0/0/3/7
12.122.72.115/1/1/0|12.122.72.115/1/1/0/2
10.144.0.147/1/0/0|10.144.0.147/1/0/0/6024
10.0.36.78/5/0/0|10.0.36.78/5/0/0/3
12.80.72.33/0/3/3|12.80.72.33/0/3/3/40
10.0.8.124/4/3/8|10.0.8.124/4/3/8/2
150.0.0.23/5/0/1|150.0.0.23/5/0/1/6009
10.0.36.73/1/1/3|10.0.36.73/1/1/3/1
143.0.68.172/0/1/3|143.0.68.172/0/1/3/75
10.0.36.75/11/1/1|10.0.36.75/11/1/1/3
8.8.0.165/0/3/9|8.8.0.165/0/3/9/2
10.0.40.7/5/0/6|10.0.40.7/5/0/6/1
149.4.64.12/3/0/0|149.4.64.12/3/0/0/3
149.4.64.5/2/0/4|149.4.64.5/2/0/4/1
72.44.12.29/0/2/3|72.44.12.29/0/2/3/0
12.122.72.128/1/0/1|12.122.72.128/1/0/1/313
143.0.68.208/0/1/3|143.0.68.208/0/1/3/9
148.0.131.153/4/3/0|148.0.131.153/4/3/0/15
10.0.40.42/3/1/0|10.0.40.42/3/1/0/11
10.0.40.4/3/2/2|10.0.40.4/3/2/2/2
149.9.0.27/1/0/0|149.9.0.27/1/0/0/6001
10.0.32.65/2/0/1|10.0.32.65/2/0/1/1
143.0.68.230/5/1/0|143.0.68.230/5/1/0/6028
10.0.36.14/3/0/3|10.0.36.14/3/0/3/3
149.4.64.8/1/0/2|149.4.64.8/1/0/2/2
10.144.0.137/1/0/2|10.144.0.137/1/0/2/6026
